Time,auto_broadcast_out_insns_0_cause[63:0],auto_broadcast_out_insns_0_exception,auto_broadcast_out_insns_0_iaddr[33:0],auto_broadcast_out_insns_0_insn[31:0],auto_broadcast_out_insns_0_interrupt,auto_broadcast_out_insns_0_priv[2:0],auto_broadcast_out_insns_0_tval[33:0],auto_broadcast_out_insns_0_valid,auto_broadcast_out_time[63:0],auto_buffer_out_a_bits_address[31:0],auto_buffer_out_a_bits_data[63:0],auto_buffer_out_a_bits_mask[7:0],auto_buffer_out_a_bits_opcode[2:0],auto_buffer_out_a_bits_param[2:0],auto_buffer_out_a_bits_size[3:0],auto_buffer_out_a_bits_source[1:0],auto_buffer_out_a_ready,auto_buffer_out_a_valid,auto_buffer_out_b_bits_address[31:0],auto_buffer_out_b_bits_corrupt,auto_buffer_out_b_bits_data[63:0],auto_buffer_out_b_bits_mask[7:0],auto_buffer_out_b_bits_opcode[2:0],auto_buffer_out_b_bits_param[1:0],auto_buffer_out_b_bits_size[3:0],auto_buffer_out_b_bits_source[1:0],auto_buffer_out_b_ready,auto_buffer_out_b_valid,auto_buffer_out_c_bits_address[31:0],auto_buffer_out_c_bits_data[63:0],auto_buffer_out_c_bits_opcode[2:0],auto_buffer_out_c_bits_param[2:0],auto_buffer_out_c_bits_size[3:0],auto_buffer_out_c_bits_source[1:0],auto_buffer_out_c_ready,auto_buffer_out_c_valid,auto_buffer_out_d_bits_corrupt,auto_buffer_out_d_bits_data[63:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_sink[1:0],auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source[1:0],auto_buffer_out_d_ready,auto_buffer_out_d_valid,auto_buffer_out_e_bits_sink[1:0],auto_buffer_out_e_ready,auto_buffer_out_e_valid,auto_hartid_in,auto_int_local_in_0_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_2_0,auto_wfi_out_0,clock,reset
0,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,101,00,00,0001,00,1,1,00,1,1,0,0,0,0,0,0,1,1
5,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,101,00,00,0001,00,1,1,00,1,1,0,0,0,0,0,0,0,1
10,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0,100,11,00,0001,10,1,1,00,1,0,0,0,0,0,0,0,1,0
15,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0,100,11,00,0001,10,1,1,00,1,0,0,0,0,0,0,0,0,0
20,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000001,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,011,11,00,0110,10,1,1,00,0,0,0,0,0,0,0,0,1,0
25,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000001,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,011,11,00,0110,10,1,1,00,0,0,0,0,0,0,0,0,0,0
30,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000010,00000000000000010000000001000000,0000000000000000000000000000000000000000000000000000000000000000,11111111,100,000,0110,10,0,1,11111111111111111111000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000001000101010011011000,0,011,11,00,0100,10,1,1,00,0,0,0,0,0,0,0,0,1,0
35,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000010,00000000000000010000000001000000,0000000000000000000000000000000000000000000000000000000000000000,11111111,100,000,0110,10,0,1,11111111111111111111000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000001000101010011011000,0,011,11,00,0100,10,1,1,00,0,0,0,0,0,0,0,0,0,0
40,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000011,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000001010000101110001001011001110001000000000000110010110010011,0,011,11,00,0001,10,1,1,00,0,0,0,0,0,0,0,0,1,0
45,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000011,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,0000001010000101110001001011001110001000000000000110010110010011,0,011,11,00,0001,10,1,1,00,0,0,0,0,0,0,0,0,0,0
50,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000100,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0,011,11,00,0101,00,1,1,00,0,0,0,0,0,0,0,0,1,0
55,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000100,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0,011,11,00,0101,00,1,1,00,0,0,0,0,0,0,0,0,0,0
60,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000101,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,1111111111111111111111111111111111111111111111111111111111111111,0,001,10,00,0001,00,1,1,00,0,0,0,0,0,0,0,0,1,0
65,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000101,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,100,101,0000,00,0,0,0,1111111111111111111111111111111111111111111111111111111111111111,0,001,10,00,0001,00,1,1,00,0,0,0,0,0,0,0,0,0,0
70,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000110,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,101,10,00,0101,00,1,1,00,0,0,0,0,0,0,0,0,1,0
75,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000110,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,00000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,101,10,00,0101,00,1,1,00,0,0,0,0,0,0,0,0,0,0
80,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000111,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,001,10,00,0100,00,0,1,00,0,0,0,0,0,0,0,0,1,1
85,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000111,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111,100,101,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,001,10,00,0100,00,0,1,00,0,0,0,0,0,0,0,0,0,1
90,0000000000000000000000000000000000000000000000000000000000000100,0,0000000000000000000000000000000000,00000000000000000000000000000000,0,011,0000000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,000,0000,00,0,0,11111111111000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,10,0,1,00000000000000000000000000000000,1111111111111111111111111111111111111111111111111111111111111111,100,101,0000,00,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,0,101,10,00,0100,00,1,1,00,1,1,0,1,0,0,0,0,1,0
