Time,auto_buffer_out_a_ready,auto_buffer_out_b_bits_address[31:0],auto_buffer_out_b_bits_corrupt,auto_buffer_out_b_bits_data[63:0],auto_buffer_out_b_bits_mask[7:0],auto_buffer_out_b_bits_opcode[2:0],auto_buffer_out_b_bits_param[1:0],auto_buffer_out_b_bits_size[3:0],auto_buffer_out_b_bits_source[1:0],auto_buffer_out_b_valid,auto_buffer_out_c_ready,auto_buffer_out_d_bits_corrupt,auto_buffer_out_d_bits_data[63:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_sink[1:0],auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source[1:0],auto_buffer_out_d_valid,auto_buffer_out_e_ready,auto_hartid_in,auto_int_local_in_0_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_2_0,clock,reset
0,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,00,1,1,1,1111111111111111111111111111111111111111111111111111111111111111,0,100,11,00,1011,00,1,1,1,0,1,1,1,1,1
5,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,00,1,1,1,1111111111111111111111111111111111111111111111111111111111111111,0,100,11,00,1011,00,1,1,1,0,1,1,1,0,1
10,1,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,10,1010,00,1,1,0,0000000000000000000000000000000000000000000000000000000000000000,1,111,11,00,0100,10,1,1,1,0,1,1,1,1,0
15,1,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,10,1010,00,1,1,0,0000000000000000000000000000000000000000000000000000000000000000,1,111,11,00,0100,10,1,1,1,0,1,1,1,0,0
20,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,1,1111111111111111111111111111111111111111111111111111111111111111,1,100,11,00,1011,00,1,1,1,1,1,1,1,1,0
25,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,1,1111111111111111111111111111111111111111111111111111111111111111,1,100,11,00,1011,00,1,1,1,1,1,1,1,0,0
30,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,0,0000000000000000000000000000000000000000000000000000000000000000,1,111,11,00,0111,10,1,1,1,0,1,1,1,1,0
35,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,0,0000000000000000000000000000000000000000000000000000000000000000,1,111,11,00,0111,10,1,1,1,0,1,1,1,0,0
40,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,0,0100001100111110000000110101111111000010001110110111101010111001,1,101,11,00,0011,10,1,1,1,0,1,1,1,1,0
45,1,11111111111111111111111111000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,10,1,1,0,0100001100111110000000110101111111000010001110110111101010111001,1,101,11,00,0011,10,1,1,1,0,1,1,1,0,0
