Time,auto_buffer_out_a_ready,auto_buffer_out_b_bits_address[31:0],auto_buffer_out_b_bits_corrupt,auto_buffer_out_b_bits_data[63:0],auto_buffer_out_b_bits_mask[7:0],auto_buffer_out_b_bits_opcode[2:0],auto_buffer_out_b_bits_param[1:0],auto_buffer_out_b_bits_size[3:0],auto_buffer_out_b_bits_source[1:0],auto_buffer_out_b_valid,auto_buffer_out_c_ready,auto_buffer_out_d_bits_corrupt,auto_buffer_out_d_bits_data[63:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_sink[1:0],auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source[1:0],auto_buffer_out_d_valid,auto_buffer_out_e_ready,auto_hartid_in,auto_int_local_in_0_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_2_0,clock,reset
0,0,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,10,0110,01,1,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,001,11,00,0100,00,1,1,0,0,0,0,0,0,1
1,0,00000000000000000000100000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,10,0110,01,1,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,111,11,00,0011,00,1,1,0,0,0,0,0,0,0
2,0,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,10,0000,01,1,1,0,0000001000010001010011011011001100000000001000100000000100111000,0,101,01,00,0100,00,0,1,0,0,0,0,0,0,0
3,0,00000000000000000000000001000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,01,1,1,0,0000001000010001010011111011101110000001111100000100000100010011,0,101,11,00,0011,10,1,1,0,0,0,0,0,0,0
4,1,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,01,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,001,11,00,0101,00,1,1,0,0,0,0,0,0,0
5,1,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,01,0,0,1,0000000000000000000000000000000000000000000000000000000000000000,1,011,01,00,0101,00,1,1,0,0,0,0,0,0,0
6,1,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,11,1,0,0,0000000000000000000000000000000000000000000000000000000000000000,1,101,11,00,0101,00,1,1,1,0,1,1,1,0,0
7,1,00000000000000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,11,1,0,1,0000000000000000000000000000000000000000000000000000000000000000,1,100,11,00,0101,00,1,1,1,0,1,1,1,0,0
8,1,11111111111000000000000000111111,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,11,1111,01,0,1,0,1111111111111111111111111111111111111111111111111111111111011111,1,001,00,00,0101,01,1,1,1,0,1,1,1,0,1
9,1,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,1,0,0000000000000000000000000000000000000000000000000000000000000000,0,111,00,00,0110,10,1,1,0,1,1,1,1,0,0
10,0,00000000000000000000000000000000,0,0000000000000000000000000000000000000000000000000000000000000000,00000000,000,00,0000,00,0,0,0,0000000000000000000000000000000000000000000000000000000000000000,0,000,00,00,0000,00,0,0,0,0,0,0,0,0,0
