Time,auto_buffer_in_a_bits_address[31:0],auto_buffer_in_a_bits_corrupt,auto_buffer_in_a_bits_data[31:0],auto_buffer_in_a_bits_mask[3:0],auto_buffer_in_a_bits_opcode[2:0],auto_buffer_in_a_bits_param[2:0],auto_buffer_in_a_bits_size[2:0],auto_buffer_in_a_bits_source[4:0],auto_buffer_in_a_valid,auto_buffer_in_d_ready,auto_buffer_out_a_ready,auto_buffer_out_d_bits_corrupt,auto_buffer_out_d_bits_data[31:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_sink,auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source,auto_buffer_out_d_valid,auto_hartid_in,auto_int_local_in_0_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_2_0,reset
0,00000000000000000000000000000000,0,00000000000000000000000000000000,1111,000,100,100,00000,0,0,0,0,00000000000000000000000000000000,0,001,00,0,0001,1,1,0,0,0,0,0,1
10,00000000000000000000000000000000,0,00000000000000000000000000000000,1111,000,100,100,00000,1,0,0,0,00000000000000000000000000000000,0,011,00,0,0110,0,1,0,0,0,0,0,0
20,10000000000000000001011011110100,0,00000001000000000100000100000000,1010,000,011,010,00000,1,0,0,1,10000010011010011010001100010111,0,000,00,0,0110,1,1,0,0,0,0,0,0
30,11111111111111111111111111111111,0,00000000000000000000000000000000,1111,011,101,111,00000,1,1,0,0,00000000011011110000001000010000,0,011,00,0,0111,0,1,0,0,0,0,0,0
40,10000000000000100011111111111100,0,10111111011111110111111111111110,0010,001,111,001,00000,1,1,0,0,01001100001100110001000010010001,0,011,00,0,0010,0,1,0,0,0,0,0,0
50,11111111111111111111111111111111,0,00000000000000000000000000000000,1111,001,111,100,00000,1,1,1,1,00000000000000000000000000000000,0,000,00,0,0011,0,0,0,1,0,0,0,0
60,10000000000000000001011011110111,0,00000000000000000000000000000000,1111,010,010,000,00000,1,1,1,1,00000000000000000000000000000000,0,001,00,0,0001,0,0,0,1,0,0,0,0
70,10000000000000000000000000000111,0,00000000000000000000000000000000,1111,010,001,100,00000,0,1,0,1,00000000000000000000000000000000,0,000,00,0,0011,1,1,0,0,0,0,0,0
80,10000000000000100011111111111101,0,00000000000000000000000000000000,1111,001,111,000,00000,1,1,0,0,11000000000000000000000000000000,0,001,00,0,1101,1,1,0,0,0,0,0,0
90,11111111111111111111111111111011,0,00000000000000000000000000000000,1111,000,010,100,00000,0,1,0,1,00000000000000000000000000000000,0,001,00,0,1010,0,1,0,0,0,0,0,0
100,11111111111111111110000000001100,0,00000000000000000000000000000000,1111,000,010,111,00000,0,1,1,1,00000000100000000000000000000000,0,001,00,0,0001,1,1,0,0,0,0,0,0
110,01111111111111111111111111111111,0,00000000000000000000000000000000,0111,001,010,010,00000,0,0,0,0,00000000000000000000000000000000,0,011,00,0,1101,0,1,0,0,0,0,0,0
